asr_iou,client_id,eta_approx,method,post_clean_accuracy,predicted_labels,scenario,scores,true_labels
1.0,7,4.200678672307687,federaser,0.972,[0],sample,"[0.5000016093254089, 0.00022215551871340722, 0.268001526594162, 6.362935528159142e-05, 0.009478256106376648, 0.0003017630660906434, 0.1377197951078415, 0.0007772167446091771, 0.05617418885231018, 0.027259917929768562]",[0]
1.0,4,2.8531027865618364,federaser,0.965,[0],sample,"[0.5000000596046448, 2.9784790967823938e-05, 0.006809634622186422, 4.341416934039444e-05, 0.0036882192362099886, 0.0035569206811487675, 0.18921001255512238, 0.00015918801364023238, 0.23604604601860046, 0.06045672670006752]",[0]
1.0,2,6.991393203916378,federaser,0.972,[0],sample,"[0.4999980628490448, 0.030424676835536957, 0.012572563253343105, 1.9457391317700967e-05, 1.123868059949018e-05, 0.00436022924259305, 0.0009438294218853116, 0.0022165284026414156, 0.36848995089530945, 0.08096349984407425]",[0]
1.0,1,7.178689890075124,federaser,0.972,[0],sample,"[0.5000017881393433, 0.00014856437337584794, 0.053657401353120804, 1.1373366760381032e-05, 0.00028079835465177894, 0.03199627995491028, 0.007352103013545275, 0.0005641414900310338, 0.29126036167144775, 0.11472726613283157]",[0]
1.0,9,3.268306123787165,federaser,0.969,[0],class,"[0.4999998211860657, 0.013586850836873055, 0.046755556017160416, 5.1924012950621545e-05, 0.005944571923464537, 0.003535100957378745, 0.05792412534356117, 0.0020494619384407997, 0.16254094243049622, 0.20761162042617798]",[0]
1.0,0,4.180987692750425,federaser,0.969,[0],class,"[0.4999998211860657, 0.013586850836873055, 0.046755556017160416, 5.1924012950621545e-05, 0.005944571923464537, 0.003535100957378745, 0.05792412534356117, 0.0020494619384407997, 0.16254094243049622, 0.20761162042617798]",[0]
1.0,5,4.202538779384943,federaser,0.969,[0],class,"[0.4999998211860657, 0.013586850836873055, 0.046755556017160416, 5.1924012950621545e-05, 0.005944571923464537, 0.003535100957378745, 0.05792412534356117, 0.0020494619384407997, 0.16254094243049622, 0.20761162042617798]",[0]
1.0,7,3.758827883841258,federaser,0.969,[0],class,"[0.4999998211860657, 0.013586850836873055, 0.046755556017160416, 5.1924012950621545e-05, 0.005944571923464537, 0.003535100957378745, 0.05792412534356117, 0.0020494619384407997, 0.16254094243049622, 0.20761162042617798]",[0]
1.0,9,3.7995151658362984,federaser,0.969,[0],class,"[0.4999998211860657, 0.013586850836873055, 0.046755556017160416, 5.1924012950621545e-05, 0.005944571923464537, 0.003535100957378745, 0.05792412534356117, 0.0020494619384407997, 0.16254094243049622, 0.20761162042617798]",[0]
1.0,7,2.737682814071036,federaser,0.969,[0],class,"[0.4999998211860657, 0.013586850836873055, 0.046755556017160416, 5.1924012950621545e-05, 0.005944571923464537, 0.003535100957378745, 0.05792412534356117, 0.0020494619384407997, 0.16254094243049622, 0.20761162042617798]",[0]
1.0,9,4.6382031935741646,federaser,0.969,[0],class,"[0.4999998211860657, 0.013586850836873055, 0.046755556017160416, 5.1924012950621545e-05, 0.005944571923464537, 0.003535100957378745, 0.05792412534356117, 0.0020494619384407997, 0.16254094243049622, 0.20761162042617798]",[0]
1.0,6,2.8987092110349226,federaser,0.969,[0],class,"[0.4999998211860657, 0.013586850836873055, 0.046755556017160416, 5.1924012950621545e-05, 0.005944571923464537, 0.003535100957378745, 0.05792412534356117, 0.0020494619384407997, 0.16254094243049622, 0.20761162042617798]",[0]
1.0,1,3.9910778553849333,federaser,0.969,[0],class,"[0.4999998211860657, 0.013586850836873055, 0.046755556017160416, 5.1924012950621545e-05, 0.005944571923464537, 0.003535100957378745, 0.05792412534356117, 0.0020494619384407997, 0.16254094243049622, 0.20761162042617798]",[0]
1.0,2,2.3466160559292986,federaser,0.969,[0],class,"[0.4999998211860657, 0.013586850836873055, 0.046755556017160416, 5.1924012950621545e-05, 0.005944571923464537, 0.003535100957378745, 0.05792412534356117, 0.0020494619384407997, 0.16254094243049622, 0.20761162042617798]",[0]
1.0,3,3.9775812037932026,federaser,0.969,[0],class,"[0.4999998211860657, 0.013586850836873055, 0.046755556017160416, 5.1924012950621545e-05, 0.005944571923464537, 0.003535100957378745, 0.05792412534356117, 0.0020494619384407997, 0.16254094243049622, 0.20761162042617798]",[0]
1.0,6,2.1905480261413106,federaser,0.969,[0],class,"[0.4999998211860657, 0.013586850836873055, 0.046755556017160416, 5.1924012950621545e-05, 0.005944571923464537, 0.003535100957378745, 0.05792412534356117, 0.0020494619384407997, 0.16254094243049622, 0.20761162042617798]",[0]
1.0,8,5.605531525035241,federaser,0.969,[0],class,"[0.4999998211860657, 0.013586850836873055, 0.046755556017160416, 5.1924012950621545e-05, 0.005944571923464537, 0.003535100957378745, 0.05792412534356117, 0.0020494619384407997, 0.16254094243049622, 0.20761162042617798]",[0]
1.0,9,3.011136110483155,federaser,0.969,[0],class,"[0.4999998211860657, 0.013586850836873055, 0.046755556017160416, 5.1924012950621545e-05, 0.005944571923464537, 0.003535100957378745, 0.05792412534356117, 0.0020494619384407997, 0.16254094243049622, 0.20761162042617798]",[0]
1.0,2,2.48491649286909,federaser,0.969,[0],class,"[0.4999998211860657, 0.013586850836873055, 0.046755556017160416, 5.1924012950621545e-05, 0.005944571923464537, 0.003535100957378745, 0.05792412534356117, 0.0020494619384407997, 0.16254094243049622, 0.20761162042617798]",[0]
1.0,2,2.604863604627681,federaser,0.969,[0],class,"[0.4999998211860657, 0.013586850836873055, 0.046755556017160416, 5.1924012950621545e-05, 0.005944571923464537, 0.003535100957378745, 0.05792412534356117, 0.0020494619384407997, 0.16254094243049622, 0.20761162042617798]",[0]
1.0,4,4.858751395857896,federaser,0.969,[0],class,"[0.4999998211860657, 0.013586850836873055, 0.046755556017160416, 5.1924012950621545e-05, 0.005944571923464537, 0.003535100957378745, 0.05792412534356117, 0.0020494619384407997, 0.16254094243049622, 0.20761162042617798]",[0]
1.0,1,3.6784679832330838,federaser,0.969,[0],class,"[0.4999998211860657, 0.013586850836873055, 0.046755556017160416, 5.1924012950621545e-05, 0.005944571923464537, 0.003535100957378745, 0.05792412534356117, 0.0020494619384407997, 0.16254094243049622, 0.20761162042617798]",[0]
1.0,2,2.269822058919725,federaser,0.969,[0],class,"[0.4999998211860657, 0.013586850836873055, 0.046755556017160416, 5.1924012950621545e-05, 0.005944571923464537, 0.003535100957378745, 0.05792412534356117, 0.0020494619384407997, 0.16254094243049622, 0.20761162042617798]",[0]
1.0,2,2.921154330111767,federaser,0.969,[0],class,"[0.4999998211860657, 0.013586850836873055, 0.046755556017160416, 5.1924012950621545e-05, 0.005944571923464537, 0.003535100957378745, 0.05792412534356117, 0.0020494619384407997, 0.16254094243049622, 0.20761162042617798]",[0]
1.0,9,3.815964908278618,federaser,0.969,[0],class,"[0.4999998211860657, 0.013586850836873055, 0.046755556017160416, 5.1924012950621545e-05, 0.005944571923464537, 0.003535100957378745, 0.05792412534356117, 0.0020494619384407997, 0.16254094243049622, 0.20761162042617798]",[0]
1.0,8,6.600366740697273,federaser,0.969,[0],class,"[0.4999998211860657, 0.013586850836873055, 0.046755556017160416, 5.1924012950621545e-05, 0.005944571923464537, 0.003535100957378745, 0.05792412534356117, 0.0020494619384407997, 0.16254094243049622, 0.20761162042617798]",[0]
1.0,6,1.5972873377647006,federaser,0.969,[0],class,"[0.4999998211860657, 0.013586850836873055, 0.046755556017160416, 5.1924012950621545e-05, 0.005944571923464537, 0.003535100957378745, 0.05792412534356117, 0.0020494619384407997, 0.16254094243049622, 0.20761162042617798]",[0]
